epoch,loss_decrease,loss_positive,step,train_loss,val_loss
0,6.731390953063965,0.00740159023553133,49,6.738792419433594,
0,5.104795455932617,0.04639056697487831,99,5.151185989379883,
0,4.0222320556640625,0.040478311479091644,149,4.062710285186768,
0,,,156,,1.9496368169784546
1,2.167602777481079,0.0266825370490551,199,2.1942853927612305,
1,0.6088129878044128,0.03225038945674896,249,0.641063392162323,
1,5.052618503570557,0.028618471696972847,299,5.081236839294434,
1,,,313,,2.44899845123291
2,0.6997537612915039,0.010765071958303452,349,0.7105188369750977,
2,1.2775275707244873,0.13353440165519714,399,1.4110620021820068,
2,0.4827471673488617,0.03189754858613014,449,0.5146447420120239,
2,,,470,,0.7943089604377747
3,0.5171371102333069,0.0,499,0.5171371102333069,
3,0.8729497194290161,0.0,549,0.8729497194290161,
3,0.21888965368270874,0.06556415557861328,599,0.284453809261322,
3,,,627,,0.25359004735946655
4,0.2578488290309906,0.015426095575094223,649,0.2732749283313751,
4,0.29041191935539246,0.0037211899179965258,699,0.29413309693336487,
4,1.8599973917007446,0.0,749,1.8599973917007446,
4,,,784,,0.4494360089302063
5,0.5571844577789307,0.05622567981481552,799,0.6134101152420044,
5,0.17586159706115723,0.0,849,0.17586159706115723,
5,0.38837018609046936,0.010276070795953274,899,0.3986462652683258,
5,,,941,,0.25360938906669617
6,0.09019339829683304,0.022445322945713997,949,0.11263871937990189,
6,0.09562376141548157,0.0,999,0.09562376141548157,
6,0.04835359379649162,0.0,1049,0.04835359379649162,
6,,,1098,,0.04050412029027939
7,0.004134007729589939,0.0,1099,0.004134007729589939,
7,0.08559545874595642,0.0,1149,0.08559545874595642,
7,0.011530454270541668,0.011781147681176662,1199,0.02331160195171833,
7,0.0,0.0,1249,0.0,
7,,,1255,,0.05009099468588829
8,0.0,0.0016442370833829045,1299,0.0016442370833829045,
8,0.0628022700548172,0.027696818113327026,1349,0.09049908816814423,
8,0.5086646676063538,0.0,1399,0.5086646676063538,
8,,,1412,,0.08777182549238205
9,0.1300102174282074,0.0,1449,0.1300102174282074,
9,0.1316254436969757,0.047246936708688736,1499,0.17887237668037415,
9,0.055706556886434555,0.036961428821086884,1549,0.09266798198223114,
9,,,1569,,0.14812743663787842
10,0.007375999819487333,0.011243505403399467,1599,0.018619505688548088,
10,0.13271227478981018,0.0,1649,0.13271227478981018,
10,0.06150806322693825,0.0,1699,0.06150806322693825,
10,,,1726,,0.15799033641815186
11,0.0,0.0,1749,0.0,
11,0.0,0.0,1799,0.0,
11,0.20264147222042084,0.0,1849,0.20264147222042084,
11,,,1883,,0.24081586301326752
12,0.6874015927314758,0.13639310002326965,1899,0.8237947225570679,
12,0.21655195951461792,0.0,1949,0.21655195951461792,
12,0.08973634988069534,0.012953822501003742,1999,0.10269017517566681,
12,,,2040,,0.0015861309366300702
13,0.0,0.0,2049,0.0,
13,0.0273248553276062,0.0,2099,0.0273248553276062,
13,0.0,0.0020157184917479753,2149,0.0020157184917479753,
13,,,2197,,0.012955784797668457
14,0.0647880807518959,0.0,2199,0.0647880807518959,
14,0.0,0.0,2249,0.0,
14,0.062444478273391724,0.0,2299,0.062444478273391724,
14,0.0,0.0,2349,0.0,
14,,,2354,,0.002500888891518116
15,0.0,0.0,2399,0.0,
15,0.5056654214859009,0.0,2449,0.5056654214859009,
15,0.0,0.0018168111564591527,2499,0.0018168111564591527,
15,,,2511,,0.012199321761727333
16,0.0,0.0,2549,0.0,
16,0.0,0.0,2599,0.0,
16,0.053031276911497116,0.00451380480080843,2649,0.05754508078098297,
16,,,2668,,0.06850123405456543
17,0.0,0.0,2699,0.0,
17,0.0,0.0,2749,0.0,
17,0.006274361629039049,0.011666768230497837,2799,0.017941130325198174,
17,,,2825,,0.00489781005308032
18,0.0,0.0,2849,0.0,
18,0.0,0.0,2899,0.0,
18,0.07995187491178513,0.0,2949,0.07995187491178513,
18,,,2982,,0.5525997877120972
19,0.5126882791519165,0.0,2999,0.5126882791519165,
19,0.0,0.0,3049,0.0,
19,0.0,0.0,3099,0.0,
19,,,3139,,3.747910976409912
20,2.170628070831299,0.0,3149,2.170628070831299,
20,0.0,0.13994979858398438,3199,0.13994979858398438,
20,0.0,0.06313949823379517,3249,0.06313949823379517,
20,,,3296,,0.0016359593719244003
21,0.0,0.0,3299,0.0,
21,0.0,0.0,3349,0.0,
21,0.0,0.0,3399,0.0,
21,0.0,0.0,3449,0.0,
21,,,3453,,0.016628386452794075
22,0.0,0.0,3499,0.0,
22,0.0,0.0,3549,0.0,
22,0.0,0.0,3599,0.0,
22,,,3610,,0.0035306336358189583
