epoch,loss_decrease,loss_positive,step,train_loss,val_loss
0,10.623636245727539,0.03503645956516266,49,10.658672332763672,
0,2.195647716522217,0.00020420279179234058,99,2.1958518028259277,
0,1.9528791904449463,0.0,149,1.9528791904449463,
0,,,156,,3.158553123474121
1,3.3193442821502686,0.18433484435081482,199,3.503679037094116,
1,2.3841423988342285,0.04837743192911148,249,2.4325199127197266,
1,3.3894894123077393,0.005728352814912796,299,3.3952176570892334,
1,,,313,,3.4176840782165527
2,7.300046443939209,0.03132122755050659,349,7.331367492675781,
2,5.136951923370361,0.005541100166738033,399,5.14249324798584,
2,2.080177068710327,0.08162379264831543,449,2.1618008613586426,
2,,,470,,2.698545455932617
3,1.3215339183807373,0.02765699103474617,499,1.3491909503936768,
3,3.5540213584899902,0.05899118259549141,549,3.6130125522613525,
3,3.261888027191162,0.009562741965055466,599,3.2714507579803467,
3,,,627,,1.7562130689620972
4,4.594668865203857,0.024117618799209595,649,4.618786334991455,
4,2.4937615394592285,0.0,699,2.4937615394592285,
4,2.6793441772460938,0.0,749,2.6793441772460938,
4,,,784,,2.215397596359253
5,3.2685232162475586,0.02300359681248665,799,3.2915267944335938,
5,0.267736554145813,0.0,849,0.267736554145813,
5,1.031632423400879,0.0,899,1.031632423400879,
5,,,941,,1.2093696594238281
6,1.1989604234695435,0.004762374795973301,949,1.2037228345870972,
6,0.45589637756347656,0.013764070346951485,999,0.4696604609489441,
6,0.6353180408477783,0.012373908422887325,1049,0.6476919651031494,
6,,,1098,,2.3871119022369385
7,2.5755746364593506,0.1133202463388443,1099,2.6888949871063232,
7,1.2107516527175903,0.0,1149,1.2107516527175903,
7,0.29674607515335083,0.0021948351059108973,1199,0.29894089698791504,
7,0.3779485821723938,0.0,1249,0.3779485821723938,
7,,,1255,,0.5192288160324097
8,1.1230051517486572,0.008798946626484394,1299,1.13180410861969,
8,0.252579927444458,0.0,1349,0.252579927444458,
8,0.17469660937786102,0.0,1399,0.17469660937786102,
8,,,1412,,0.639415979385376
9,0.09476820379495621,0.0,1449,0.09476820379495621,
9,0.13588140904903412,0.0011063050478696823,1499,0.13698771595954895,
9,0.0,0.0,1549,0.0,
9,,,1569,,0.26499971747398376
10,1.466894268989563,0.0145402941852808,1599,1.4814345836639404,
10,0.5246150493621826,0.0037019113078713417,1649,0.5283169746398926,
10,0.8059833645820618,0.15992332994937897,1699,0.9659066796302795,
10,,,1726,,0.6430702805519104
11,0.06403214484453201,0.0,1749,0.06403214484453201,
11,0.5787596702575684,0.0,1799,0.5787596702575684,
11,0.5558104515075684,0.00836513377726078,1849,0.5641756057739258,
11,,,1883,,0.7536293268203735
12,0.0,0.0,1899,0.0,
12,0.2467232346534729,0.0,1949,0.2467232346534729,
12,0.023668067529797554,0.0,1999,0.023668067529797554,
12,,,2040,,0.2301817387342453
13,0.263943612575531,0.0,2049,0.263943612575531,
13,0.0,0.0013750148937106133,2099,0.0013750148937106133,
13,0.1649923026561737,0.0,2149,0.1649923026561737,
13,,,2197,,0.21138328313827515
14,0.7071436643600464,0.015771709382534027,2199,0.7229153513908386,
14,0.08489715307950974,0.0,2249,0.08489715307950974,
14,0.04670177027583122,0.0,2299,0.04670177027583122,
14,0.8484565019607544,0.0005865805433131754,2349,0.849043071269989,
14,,,2354,,0.04598386585712433
15,0.1783819943666458,0.0,2399,0.1783819943666458,
15,0.06359972804784775,0.0,2449,0.06359972804784775,
15,0.0,0.0,2499,0.0,
15,,,2511,,0.08057010173797607
16,0.7881962060928345,0.0,2549,0.7881962060928345,
16,0.06261801719665527,0.006336344871670008,2599,0.06895436346530914,
16,0.0,0.0,2649,0.0,
16,,,2668,,0.053337354212999344
17,0.0,0.0,2699,0.0,
17,0.009178356267511845,0.0,2749,0.009178356267511845,
17,0.1548842340707779,0.0,2799,0.1548842340707779,
17,,,2825,,0.612623929977417
18,0.35180193185806274,0.0042592850513756275,2849,0.3560612201690674,
18,0.4375065267086029,0.0,2899,0.4375065267086029,
18,0.4305267333984375,0.0,2949,0.4305267333984375,
18,,,2982,,0.21663354337215424
19,0.2370346337556839,0.0029214529786258936,2999,0.2399560809135437,
19,0.6347390413284302,0.009780630469322205,3049,0.6445196866989136,
19,0.0,0.0,3099,0.0,
19,,,3139,,0.07060903310775757
20,0.030278939753770828,0.0,3149,0.030278939753770828,
20,0.0838438868522644,0.0,3199,0.0838438868522644,
20,0.0,0.0,3249,0.0,
20,,,3296,,0.04582484811544418
21,0.34367114305496216,0.0,3299,0.34367114305496216,
21,0.4310413599014282,0.0,3349,0.4310413599014282,
21,0.0,0.0,3399,0.0,
21,0.035462576895952225,0.0,3449,0.035462576895952225,
21,,,3453,,0.029893331229686737
22,0.05295676365494728,0.0003879993164446205,3499,0.053344763815402985,
22,0.0,0.017493784427642822,3549,0.017493784427642822,
22,0.0,0.0,3599,0.0,
22,,,3610,,0.021177230402827263
23,0.020863452926278114,0.0,3649,0.020863452926278114,
23,0.1011539027094841,0.004814445972442627,3699,0.10596834868192673,
23,0.019381549209356308,0.0,3749,0.019381549209356308,
23,,,3767,,0.04331986978650093
24,0.009528925642371178,0.0,3799,0.009528925642371178,
24,0.40100613236427307,0.0,3849,0.40100613236427307,
24,0.697297990322113,0.0,3899,0.697297990322113,
24,,,3924,,0.34520700573921204
25,0.1361813098192215,0.0,3949,0.1361813098192215,
25,0.0031698995735496283,0.0,3999,0.0031698995735496283,
25,0.15631526708602905,0.0,4049,0.15631526708602905,
25,,,4081,,0.516084611415863
26,0.024339808151125908,0.0,4099,0.024339808151125908,
26,0.0011810746509581804,0.0,4149,0.0011810746509581804,
26,0.11965182423591614,0.0,4199,0.11965182423591614,
26,,,4238,,0.017811112105846405
27,0.0969369113445282,0.0,4249,0.0969369113445282,
27,0.003926468081772327,0.0,4299,0.003926468081772327,
27,0.23165349662303925,0.0,4349,0.23165349662303925,
27,,,4395,,0.024855962023139
28,0.07805562019348145,0.0,4399,0.07805562019348145,
28,0.07564444094896317,0.0,4449,0.07564444094896317,
