epoch,loss_control,loss_decrease,loss_positive,step,train_loss,val_loss
0,0.0060537438839674,0.14934712648391724,0.05561339482665062,49,0.2110142707824707,
0,0.006999253295361996,0.14936740696430206,0.08353884518146515,99,0.23990550637245178,
0,0.01038504857569933,0.0,0.07225117832422256,149,0.08263622969388962,
0,,,,187,,0.016467006877064705
1,0.014592387713491917,0.0548752136528492,0.06800507754087448,199,0.13747268915176392,
1,0.01418463047593832,0.0,0.0,249,0.01418463047593832,
1,0.01145144272595644,0.0,0.0,299,0.01145144272595644,
1,0.011273195035755634,0.00828507635742426,0.0,349,0.019558271393179893,
1,,,,375,,0.002986516570672393
2,0.022422026842832565,0.09087397158145905,0.1446930468082428,399,0.2579890489578247,
2,0.017560336738824844,0.0,0.0,449,0.017560336738824844,
2,0.012761454097926617,0.0,0.0014619485009461641,499,0.014223402366042137,
2,0.013181065209209919,0.0,0.0,549,0.013181065209209919,
2,,,,563,,0.002475159475579858
3,0.013038928620517254,0.0,0.0,599,0.013038928620517254,
3,0.022831685841083527,0.0,0.012959713116288185,649,0.03579139709472656,
3,0.013921961188316345,0.0,0.0,699,0.013921961188316345,
3,0.010528217069804668,0.0,0.0,749,0.010528217069804668,
3,,,,751,,0.0027061791624873877
4,0.006627158261835575,0.0,0.0,799,0.006627158261835575,
4,0.008524845354259014,0.0,0.0,849,0.008524845354259014,
4,0.008886761032044888,0.024733519181609154,0.03582673519849777,899,0.06944701820611954,
4,,,,939,,0.00021246398682706058
5,0.01015083771198988,0.0,0.0,949,0.01015083771198988,
5,0.011885818094015121,0.0,0.0861532986164093,999,0.09803912043571472,
5,0.0068447161465883255,0.0,0.0,1049,0.0068447161465883255,
5,0.007975807413458824,0.008227764628827572,0.0,1099,0.01620357111096382,
5,,,,1127,,0.0041651944629848
6,0.006821343209594488,0.02665835991501808,0.0,1149,0.03347970172762871,
6,0.00565212732180953,0.0,0.0,1199,0.00565212732180953,
6,0.012742958031594753,0.0,0.0,1249,0.012742958031594753,
6,0.006612629629671574,0.0,0.0,1299,0.006612629629671574,
6,,,,1315,,0.0
7,0.008407275192439556,0.0,0.0,1349,0.008407275192439556,
7,0.015153873711824417,0.0,0.04379373416304588,1399,0.0589476078748703,
7,0.011362630873918533,0.0,0.00015986734069883823,1449,0.011522497981786728,
7,0.009787906892597675,0.0,0.0,1499,0.009787906892597675,
7,,,,1503,,0.0012971942778676748
8,0.017490986734628677,0.0,0.0029273845721036196,1549,0.020418372005224228,
8,0.012869087979197502,0.0,0.0,1599,0.012869087979197502,
8,0.006965194828808308,0.025588136166334152,0.03530440852046013,1649,0.06785774230957031,
8,,,,1691,,0.0024325174745172262
9,0.006110857706516981,0.0,0.0,1699,0.006110857706516981,
9,0.006177019327878952,0.0,0.07421211153268814,1749,0.0803891271352768,
9,0.02852885238826275,0.0,0.0,1799,0.02852885238826275,
9,0.021712157875299454,0.0,0.0,1849,0.021712157875299454,
9,,,,1879,,0.000765678531024605
10,0.01616032049059868,0.0,0.0,1899,0.01616032049059868,
10,0.011512656696140766,0.0,0.06659197807312012,1949,0.07810463756322861,
10,0.0101837869733572,0.0,0.0,1999,0.0101837869733572,
10,0.016399262472987175,0.0,0.01656554825603962,2049,0.032964810729026794,
10,,,,2067,,0.0015635055024176836
11,0.013912930153310299,0.0,0.02952241711318493,2099,0.04343534633517265,
11,0.023884322494268417,0.0,0.0,2149,0.023884322494268417,
11,0.01615176349878311,0.0,0.0,2199,0.01615176349878311,
11,0.012128293514251709,0.0,0.0,2249,0.012128293514251709,
11,,,,2255,,0.0002971557551063597
12,0.01113108266144991,0.0,0.0,2299,0.01113108266144991,
12,0.009311419911682606,0.0,0.0,2349,0.009311419911682606,
12,0.006118638440966606,0.008153853006660938,0.0,2399,0.014272491447627544,
12,,,,2443,,0.0036706391256302595
13,0.007762763183563948,0.0,0.0,2449,0.007762763183563948,
13,0.012686526402831078,0.0,0.0,2499,0.012686526402831078,
13,0.034919463098049164,0.0,0.0,2549,0.034919463098049164,
13,0.030897602438926697,0.0,0.04117954149842262,2599,0.07207714021205902,
13,,,,2631,,0.0003196382604073733
14,0.023015255108475685,0.0,0.0,2649,0.023015255108475685,
14,0.01767018251121044,0.0,0.0,2699,0.01767018251121044,
14,0.017462164163589478,0.0,0.0,2749,0.017462164163589478,
14,0.011537990532815456,0.0,0.0,2799,0.011537990532815456,
14,,,,2819,,0.00010173567716265097
15,0.009034518152475357,0.0,0.0,2849,0.009034518152475357,
15,0.010247852653265,0.0,0.0,2899,0.010247852653265,
15,0.007048069499433041,0.0036466484889388084,0.0,2949,0.010694717988371849,
15,0.00719301076605916,0.0,0.09116294234991074,2999,0.09835595637559891,
15,,,,3007,,3.0063158192206174e-05
16,0.01071644015610218,0.0,0.0,3049,0.01071644015610218,
16,0.008453121408820152,0.0,0.05177292600274086,3099,0.06022604554891586,
16,0.007279128767549992,0.0,0.019975433126091957,3149,0.027254562824964523,
16,,,,3195,,2.8776250474038534e-05
