epoch,loss_control,loss_decrease,loss_positive,step,train_loss,val_loss
0,0.0,0.0024686655960977077,0.0005709799006581306,49,5.512687683105469,
0,0.0,0.0011963123688474298,0.00022474463912658393,99,2.619713306427002,
0,0.0,0.0010545933619141579,3.8277335988823324e-05,149,2.1505892276763916,
0,0.0,0.0005876981886103749,0.0002540509158279747,199,1.4317911863327026,
0,0.0,0.0004991778405383229,0.0005976875545457006,249,1.5985438823699951,
0,0.0,0.0006548489909619093,4.849534161621705e-05,299,1.3600850105285645,
0,,,,312,,0.9075628519058228
1,0.0,0.0009757636580616236,0.00021935629774816334,349,2.1743216514587402,
1,0.0,0.0010824007913470268,0.0006629818817600608,399,2.8316903114318848,
1,0.0,0.0010227044112980366,0.0004293753008823842,449,2.4772844314575195,
1,0.0,0.0003455373807810247,0.0004874102014582604,499,1.1805164813995361,
1,0.0,0.0005942578427493572,0.001050405204296112,549,2.2418899536132812,
1,0.0,0.0012654770398512483,0.00015465260366909206,599,2.6887316703796387,
