epoch,loss_decrease,loss_positive,step,train_loss,val_loss
0,0.5441796779632568,0.0,49,3.9086756706237793,
0,0.18875375390052795,0.0,99,1.8045588731765747,
0,0.41651472449302673,0.0,149,1.915907859802246,
0,,,156,,0.2104695588350296
1,0.0,0.0,199,3.3652801513671875,
1,0.023841913789510727,0.020785313099622726,249,1.0709129571914673,
1,0.03981078416109085,0.024877270683646202,299,1.3766015768051147,
1,,,313,,0.332014262676239
2,0.17721422016620636,0.001140496227890253,349,1.0727146863937378,
2,0.0,0.006431245245039463,399,2.3184423446655273,
2,0.0,0.0037802194710820913,449,2.1177079677581787,
2,,,470,,0.02518688701093197
3,0.0,0.0,499,1.4305837154388428,
3,0.12687842547893524,0.0,549,1.3039159774780273,
3,0.0,0.0,599,0.976714015007019,
3,,,627,,0.381432443857193
4,0.0,0.020732874050736427,649,1.9007307291030884,
4,0.0,1.7717082300805487e-05,699,1.5283442735671997,
4,0.0,0.0001355759595753625,749,1.9993563890457153,
4,,,784,,0.027922995388507843
5,0.01691867969930172,0.017961962148547173,799,0.8456872701644897,
5,0.0,0.0,849,1.8160067796707153,
5,1.7880538702011108,0.0,899,2.6374688148498535,
5,,,941,,0.0030435724183917046
6,0.0,0.0,949,1.0650534629821777,
6,0.0,0.1298099309206009,999,1.908623456954956,
6,0.8930048942565918,0.6661403179168701,1049,3.0091047286987305,
6,,,1098,,0.0
7,0.0,0.0,1099,1.0338311195373535,
7,0.044120632112026215,0.0,1149,1.9267570972442627,
7,0.0,0.0,1199,0.7630285024642944,
7,0.0,0.0,1249,1.3441517353057861,
7,,,1255,,0.020927948877215385
8,0.0,0.0,1299,0.823106050491333,
8,0.0,0.0,1349,0.4934384226799011,
8,0.0,0.08393261581659317,1399,1.526735544204712,
8,,,1412,,0.0
9,0.0,0.0,1449,0.5211215019226074,
9,0.0,0.007293174043297768,1499,1.4079010486602783,
9,0.0,0.0,1549,1.220139741897583,
9,,,1569,,0.014859226532280445
10,0.0,0.05874691531062126,1599,1.926683783531189,
10,0.0,0.0,1649,0.8987199068069458,
10,0.0,0.0,1699,0.9110474586486816,
10,,,1726,,0.12170251458883286
11,0.0,0.16753409802913666,1749,1.3941304683685303,
11,0.0,0.0,1799,0.5413675308227539,
11,0.0,0.0,1849,0.7356188893318176,
11,,,1883,,0.010760551318526268
12,0.0,0.0,1899,1.6236371994018555,
12,0.0,0.09116530418395996,1949,1.5365192890167236,
12,0.0,0.0,1999,0.4871886074542999,
12,,,2040,,0.07114329934120178
13,0.0,0.0,2049,0.5817261934280396,
13,0.0,0.029878975823521614,2099,1.5374103784561157,
13,0.0,0.0,2149,0.7319928407669067,
13,,,2197,,0.0004442381323315203
14,0.0,0.018173977732658386,2199,1.464133381843567,
14,0.0,0.0,2249,0.7402788400650024,
14,0.09717633575201035,0.0,2299,0.8583239316940308,
14,0.0,0.0,2349,0.3841351270675659,
14,,,2354,,0.0
15,0.0,0.05362161248922348,2399,1.0515397787094116,
15,0.0,0.0,2449,0.6832586526870728,
15,0.0,0.0,2499,0.6624933481216431,
15,,,2511,,0.00209701806306839
16,0.0,0.0,2549,0.5412447452545166,
16,0.0,0.008941568434238434,2599,0.6767526268959045,
16,0.0,0.048889096826314926,2649,1.0369678735733032,
16,,,2668,,0.023224830627441406
