epoch,loss_control,loss_decrease,loss_positive,step,train_loss,val_loss
0,0.003539147786796093,0.009977232664823532,0.0,49,0.013516380451619625,
0,0.0025339885614812374,0.0,0.012381157837808132,99,0.014915145933628082,
0,0.0016529642743989825,0.04033181443810463,0.0,149,0.04198477789759636,
0,,,,187,,0.09296295791864395
1,0.0018579885363578796,0.0,0.0,199,0.0018579885363578796,
1,0.0017804967937991023,0.0,0.0,249,0.0017804967937991023,
1,0.0026125386357307434,0.0,0.0,299,0.0026125386357307434,
1,0.0037922626361250877,0.0,0.0,349,0.0037922626361250877,
1,,,,375,,0.013954083435237408
2,0.005009491927921772,0.0,0.0,399,0.005009491927921772,
2,0.006306261755526066,0.0,0.0,449,0.006306261755526066,
2,0.006412241142243147,0.0,0.0,499,0.006412241142243147,
2,0.016054512932896614,0.0,0.0,549,0.016054512932896614,
2,,,,563,,0.052918124943971634
3,0.01988532394170761,0.0,0.0,599,0.01988532394170761,
3,0.0056829736568033695,0.0,0.0,649,0.0056829736568033695,
3,0.004727798048406839,0.03321286290884018,0.07397899031639099,699,0.11191964894533157,
3,0.005697886925190687,0.011724710464477539,0.0,749,0.017422597855329514,
3,,,,751,,0.013095681555569172
4,0.0055435639806091785,0.0,0.0,799,0.0055435639806091785,
4,0.006142048165202141,0.0,0.0,849,0.006142048165202141,
4,0.007367824204266071,0.0,0.0,899,0.007367824204266071,
4,,,,939,,0.0014639142900705338
5,0.005028169602155685,0.0,0.0,949,0.005028169602155685,
5,0.003015480935573578,0.0,0.0,999,0.003015480935573578,
5,0.01490501593798399,0.0,0.0,1049,0.01490501593798399,
5,0.006205056328326464,0.0,0.0,1099,0.006205056328326464,
5,,,,1127,,0.0010677715763449669
6,0.004073647782206535,0.0,0.0,1149,0.004073647782206535,
6,0.007116110064089298,0.0,0.11022388935089111,1199,0.11733999848365784,
6,0.018363764509558678,0.0,0.0,1249,0.018363764509558678,
6,0.015049113892018795,0.0,0.0,1299,0.015049113892018795,
6,,,,1315,,0.0
7,0.00450386805459857,0.0,0.0,1349,0.00450386805459857,
7,0.005544489715248346,0.0,0.0,1399,0.005544489715248346,
7,0.011669564992189407,0.0,0.0,1449,0.011669564992189407,
7,0.005439511500298977,0.0,0.0,1499,0.005439511500298977,
7,,,,1503,,8.390803122892976e-05
8,0.004281016532331705,0.0,0.0,1549,0.004281016532331705,
8,0.0028886946383863688,0.0,0.0,1599,0.0028886946383863688,
8,0.003400565357878804,0.0,0.0,1649,0.003400565357878804,
8,,,,1691,,0.0
9,0.014620289206504822,0.0,0.0,1699,0.014620289206504822,
9,0.010594927705824375,0.0,0.0,1749,0.010594927705824375,
9,0.005219605285674334,0.0,0.0,1799,0.005219605285674334,
9,0.0033114191610366106,0.0,0.0,1849,0.0033114191610366106,
9,,,,1879,,0.000398316333303228
10,0.003614284796640277,0.0,0.0,1899,0.003614284796640277,
10,0.002704028505831957,0.0,0.0,1949,0.002704028505831957,
10,0.00805643294006586,0.0,0.0,1999,0.00805643294006586,
10,0.003386127296835184,0.0,0.0,2049,0.003386127296835184,
10,,,,2067,,6.593408033950254e-05
11,0.00661381334066391,0.0,0.0,2099,0.00661381334066391,
11,0.013044186867773533,0.0,0.0,2149,0.013044186867773533,
11,0.008715584874153137,0.0,0.0,2199,0.008715584874153137,
11,0.006513470318168402,0.0,0.0,2249,0.006513470318168402,
11,,,,2255,,0.002049823757261038
12,0.005528772249817848,0.0,0.0,2299,0.005528772249817848,
12,0.004536994732916355,0.0,0.0,2349,0.004536994732916355,
12,0.005551734007894993,0.0,0.0,2399,0.005551734007894993,
12,,,,2443,,0.0
13,0.004666936118155718,0.0,0.0,2449,0.004666936118155718,
13,0.003228123765438795,0.0,0.0,2499,0.003228123765438795,
13,0.0021603365894407034,0.0,0.0,2549,0.0021603365894407034,
13,0.0028983878437429667,0.015060029923915863,0.0,2599,0.017958417534828186,
13,,,,2631,,0.00038817484164610505
14,0.0026716552674770355,0.0,0.0,2649,0.0026716552674770355,
14,0.0036595913115888834,0.0,0.0,2699,0.0036595913115888834,
14,0.002605208195745945,0.0,0.0,2749,0.002605208195745945,
14,0.0015348169254139066,0.0,0.0,2799,0.0015348169254139066,
14,,,,2819,,0.0002092599170282483
15,0.0031376036349684,0.0,0.0,2849,0.0031376036349684,
15,0.012040112167596817,0.0,0.0,2899,0.012040112167596817,
15,0.010311330668628216,0.0,0.0,2949,0.010311330668628216,
15,0.005899111274629831,0.0,0.0,2999,0.005899111274629831,
15,,,,3007,,0.0
16,0.0030579115264117718,0.0,0.0,3049,0.0030579115264117718,
16,0.002713418798521161,0.0,0.0,3099,0.002713418798521161,
16,0.002431608270853758,0.0,0.0,3149,0.002431608270853758,
16,,,,3195,,1.6240197510342114e-05
