epoch,loss_decrease,loss_positive,step,train_loss,val_loss
0,0.402229368686676,0.03671956807374954,49,2.968393564224243,
0,0.27690237760543823,0.06896152347326279,99,1.8535795211791992,
0,0.4119936525821686,0.16814419627189636,149,2.0391130447387695,
0,,,156,,0.1255384087562561
1,0.0,0.024359703063964844,199,2.116121530532837,
1,0.03799233213067055,0.0,249,1.1821998357772827,
1,0.8357592225074768,0.0037080931942909956,299,2.94461727142334,
1,,,313,,0.10878580063581467
2,0.03678813576698303,0.008568188175559044,349,1.3618913888931274,
2,0.2495390921831131,0.0015278534265235066,399,1.283818244934082,
2,0.0,0.019476357847452164,449,1.009023904800415,
2,,,470,,0.06666367501020432
3,0.0,0.009687962010502815,499,2.2745838165283203,
3,0.0,0.021657412871718407,549,0.7681699991226196,
3,0.8129843473434448,0.02727370895445347,599,1.6666595935821533,
3,,,627,,0.7578998804092407
4,0.0,0.007169677875936031,649,1.1068453788757324,
4,0.0,0.07970903068780899,699,1.2916791439056396,
4,0.0,0.03920518606901169,749,1.0785164833068848,
4,,,784,,0.33183759450912476
5,0.0,0.14028146862983704,799,1.3524253368377686,
5,0.0,0.0,849,0.9566071033477783,
5,0.6842148303985596,0.01357037853449583,899,1.7081968784332275,
5,,,941,,0.02298448607325554
6,0.9202486872673035,0.06476322561502457,949,1.8059983253479004,
6,0.0,0.0,999,1.192014217376709,
6,0.0,0.0016589894657954574,1049,0.6481388807296753,
6,,,1098,,0.19231657683849335
7,0.0,0.00037091498961672187,1099,0.7456560134887695,
7,0.0,0.0,1149,0.9533599615097046,
7,0.0,0.023028381168842316,1199,1.08966064453125,
7,0.36376652121543884,0.04379360377788544,1249,1.4146382808685303,
7,,,1255,,0.33600789308547974
8,0.0,0.0282329972833395,1299,1.5118755102157593,
8,0.16545478999614716,0.0,1349,0.9104600548744202,
8,0.0,0.39744675159454346,1399,1.7835391759872437,
8,,,1412,,0.36130863428115845
9,0.09720657765865326,0.0,1449,0.8386313915252686,
9,0.0,0.0,1499,0.987246572971344,
9,0.0,0.0,1549,0.7880961894989014,
9,,,1569,,0.46391817927360535
10,0.0,0.05498965084552765,1599,1.015730857849121,
10,0.0,0.15213555097579956,1649,1.3232231140136719,
10,0.7789571285247803,0.031234070658683777,1699,1.2774864435195923,
10,,,1726,,0.09576283395290375
11,0.0,0.0,1749,0.6171952486038208,
11,0.14143630862236023,0.14620840549468994,1799,2.1737918853759766,
11,0.3649039566516876,0.0,1849,1.716026782989502,
11,,,1883,,0.05649758130311966
12,0.0,0.0,1899,1.3614574670791626,
12,0.0,0.0,1949,1.3801543712615967,
12,0.0,0.0,1999,1.6385164260864258,
12,,,2040,,0.028979403898119926
13,0.0,0.0,2049,0.7353770732879639,
13,0.0,0.0,2099,0.4804188013076782,
13,0.0,0.0,2149,1.0760606527328491,
13,,,2197,,0.052341632544994354
14,0.0,0.0,2199,0.8547192811965942,
14,0.0814480409026146,0.0,2249,0.6994480490684509,
14,0.0,0.0,2299,1.0106201171875,
14,0.0,0.03428611531853676,2349,1.3031150102615356,
14,,,2354,,0.06774775683879852
15,0.0,0.0,2399,1.0981045961380005,
15,0.0,0.3620845377445221,2449,1.6413286924362183,
15,0.0,0.0,2499,1.157968521118164,
15,,,2511,,0.13639365136623383
