epoch,loss_decrease,loss_positive,step,train_loss,val_loss
0,8.682923316955566,0.12898187339305878,49,8.811904907226562,
0,4.328973770141602,3.258331707911566e-05,99,4.329006195068359,
0,7.543355941772461,0.029819967225193977,149,7.57317590713501,
0,,,156,,4.738293647766113
1,4.791747570037842,0.06691505759954453,199,4.8586626052856445,
1,4.146880149841309,0.011425532400608063,249,4.158305644989014,
1,4.18936824798584,0.05305381491780281,299,4.242422103881836,
1,,,313,,2.3078746795654297
2,2.0006167888641357,0.0005131224752403796,349,2.0011298656463623,
2,0.9549869894981384,0.004180670715868473,399,0.9591676592826843,
2,1.4150828123092651,0.0,449,1.4150828123092651,
2,,,470,,1.2952989339828491
3,9.331987380981445,0.5275511145591736,499,9.859538078308105,
3,5.642231464385986,0.0031076939776539803,549,5.645339012145996,
3,1.4075853824615479,0.004707121290266514,599,1.41229248046875,
3,,,627,,1.5931659936904907
4,0.7174366116523743,0.0,649,0.7174366116523743,
4,0.8425087332725525,0.0,699,0.8425087332725525,
4,3.782775640487671,0.08612122386693954,749,3.868896961212158,
4,,,784,,6.750668048858643
5,0.709894597530365,0.027560090646147728,799,0.7374547123908997,
5,0.9625794887542725,0.0,849,0.9625794887542725,
5,1.6501022577285767,0.0,899,1.6501022577285767,
5,,,941,,0.8286799192428589
6,0.7430312633514404,0.0,949,0.7430312633514404,
6,0.5668182969093323,0.0,999,0.5668182969093323,
6,0.315122127532959,0.0,1049,0.315122127532959,
6,,,1098,,0.8778862953186035
7,0.8863750696182251,0.0,1099,0.8863750696182251,
7,1.1296510696411133,0.03518461436033249,1149,1.1648356914520264,
7,0.2906205356121063,0.0,1199,0.2906205356121063,
7,0.18456551432609558,0.0,1249,0.18456551432609558,
7,,,1255,,0.11462179571390152
8,0.4965595304965973,0.0,1299,0.4965595304965973,
8,0.14615054428577423,0.0,1349,0.14615054428577423,
8,0.8599348068237305,0.0,1399,0.8599348068237305,
8,,,1412,,0.24293911457061768
9,0.37347176671028137,0.0025789823848754168,1449,0.376050740480423,
9,0.6841082572937012,0.0,1499,0.6841082572937012,
9,0.375544011592865,0.0,1549,0.375544011592865,
9,,,1569,,0.850934624671936
10,1.1188304424285889,0.06622043251991272,1599,1.1850508451461792,
10,0.5575750470161438,0.0048217568546533585,1649,0.5623968243598938,
10,0.98787921667099,0.0124449348077178,1699,1.0003241300582886,
10,,,1726,,0.7488079071044922
11,0.14422990381717682,0.0,1749,0.14422990381717682,
11,0.7966622710227966,0.0,1799,0.7966622710227966,
11,0.017791736871004105,0.0,1849,0.017791736871004105,
11,,,1883,,0.07383772730827332
12,0.14081794023513794,0.0006551957339979708,1899,0.14147312939167023,
12,0.0006604071822948754,0.0,1949,0.0006604071822948754,
12,0.060740139335393906,0.0,1999,0.060740139335393906,
12,,,2040,,0.14387518167495728
13,0.09273774176836014,0.0,2049,0.09273774176836014,
13,0.15796436369419098,0.0,2099,0.15796436369419098,
13,0.5585165619850159,0.0,2149,0.5585165619850159,
13,,,2197,,0.09124331176280975
14,0.40899279713630676,0.0,2199,0.40899279713630676,
14,0.0,0.0,2249,0.0,
14,0.3547307550907135,0.0,2299,0.3547307550907135,
14,0.1688796877861023,0.0006675357581116259,2349,0.16954723000526428,
14,,,2354,,0.058306340128183365
15,0.1328972727060318,0.0,2399,0.1328972727060318,
15,0.22347943484783173,0.0,2449,0.22347943484783173,
